signal_time,dir,pnl_points
2020-10-09 02:00:00,L,-0.2348243697420216
2021-11-16 04:00:00,L,-0.7420429696224318
2021-12-06 04:00:00,L,-0.5518462387833125
2022-01-04 04:00:00,L,2.381999999999991
2022-01-11 10:00:00,L,4.967999999999989
2022-06-24 18:00:00,L,-0.7040451761886999
2022-10-25 18:00:00,L,-0.3620063761292869
2023-02-01 04:00:00,L,-0.7630925845447933
2023-05-22 20:00:00,L,-0.5102481404577475
2023-08-18 18:00:00,L,-0.5630000000000024
2023-09-26 20:00:00,L,0.8119999999999976
2023-11-02 20:00:00,L,-0.8222921545497712
2023-12-08 18:00:00,L,-0.6237488741486885
2024-01-09 22:00:00,L,-0.6930692138607668
2024-02-06 20:00:00,L,2.8130000000000024
2024-02-22 00:00:00,L,-0.5888913557097624
2024-02-27 00:00:00,L,1.061000000000007
2024-03-28 00:00:00,L,3.4450000000000074
2024-05-13 22:00:00,L,-0.32198932218074106
2024-05-16 02:00:00,L,-0.5224029744952787
2024-05-24 22:00:00,L,1.0729999999999933
2024-07-11 02:00:00,L,-0.7179511022264222
2024-08-23 04:00:00,L,2.0799999999999983
2024-10-21 18:00:00,L,-0.3573431830991609
2024-12-09 18:00:00,L,-0.15343159461868083
2024-12-24 08:00:00,L,-0.411279777399173
2025-01-09 22:00:00,L,3.5719999999999885
2025-02-03 00:00:00,L,-0.7257796484848029
2025-02-10 06:00:00,L,0.05500000000000682
2025-02-18 02:00:00,L,-0.4758426829899207
2025-03-12 02:00:00,L,-0.13754553202930708
2025-03-20 04:00:00,L,-0.34299710260948757
2025-05-23 22:00:00,L,-0.43299999999999983
2025-07-01 16:00:00,L,-0.48798791686796505
2025-08-14 18:00:00,L,-0.6001379133984628
2025-09-15 04:00:00,L,0.5430000000000064
2025-10-21 18:00:00,L,2.830999999999996
2025-11-10 04:00:00,L,-0.37527296431941437
2025-11-26 22:00:00,L,0.5109999999999957
2026-07-06 20:00:00,L,2.8499999999999943
